################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
#pixra2:DSAP;
#pixra3:DSAP;
#pixra4:DSAP;
#
# x1 is plump/fat/obese [excessively thick/bulbous/swollen] by standard x2                        
#plana1:DSAP;
#plana2:DSAP;
#
# x1 (agent) plans/designs/plots plan/arrangement/plot/[schematic] x2 for state/process x3        
#platu1:DSAP;
#platu2:DSAP;
#platu3:DSAP;
#
# x1 pays/compensates/remunerates/[rewards] payment x2 to recipient/payee x3 for goods/services x4
#pleji1:DSAP;
#pleji2:DSAP;
#pleji3:DSAP;
#
# x1 is a/the pubic area/external genitalia [body-part] of x2                                     
#plibu1:DSAP;
#plibu2:DSAP;
#
# x1 is a planet revolving around x2 with planetary characteristics x3, orbital parameters x4     
#plini1:DSAP;
#plini2:DSAP;
#plini3:DSAP;
#plini4:DSAP;
#
# x1 (agent/object) leaps/jumps/springs/bounds to x2 from x3 reaching height x4 propelled by x5   
#plipe1:DSAP;
#plipe2:DSAP;
#plipe3:DSAP;
#plipe4:DSAP;
#plipe5:DSAP;
#
# x1 is an apple [fruit] of species/strain x2                                                     
#plise1:DSAP;
#plise2:DSAP;
#
# x1 is a plane [2-dimensional shape/form] defined by points x2 (set); x1 is flat/[smooth]        
#plita1:DSAP;
#plita2:DSAP;
#
# x1 (agent) plows/furrows/tills [cuts into and turns up] x2 with tool x3 propelled by x4         
#plixa1:DSAP;
#plixa2:DSAP;
#plixa3:DSAP;
#plixa4:DSAP;
#
# x1 is complex/complicated/involved in aspect/property x2 (ka) by standard x3                    
#pluja1:DSAP;
#pluja2:DSAP;
#pluja3:DSAP;
#
# x1 (event/state) seems pleasant to/pleases x2 under conditions x3                               
#pluka1:DSAP;
#pluka2:DSAP;
#pluka3:DSAP;
#
# x1 is a route/path/way/course/track to x2 from x3 via/defined by points including x4 (set)      
#pluta1:DSAP;
#pluta2:DSAP;
#pluta3:DSAP;
#pluta4:DSAP;
#
# x1 (force) folds/creases x2 at locus/loci/forming crease(s)/bend(s) x3                          
#polje1:DSAP;
#polje2:DSAP;
#polje3:DSAP;
#
# x1 reflects Polynesian/Oceanian (geographic region) culture/nationality/languages in aspect x2  
#polno1:DSAP;
#polno2:DSAP;
#
# x1 reflects Japanese culture/nationality/language in aspect x2                                  
#ponjo1:DSAP;
#ponjo2:DSAP;
#
# x1 possesses/owns/has x2 under law/custom x3; x1 is owner/proprietor of x2 under x3             
ponse1:A;possess
ponse2:P;possessed
ponse3:D;custom* defining possession
#
# x1 breaks/fractures/shatters/[splits/splinters/cracks] into pieces x2                           
#porpi1:DSAP;
#porpi2:DSAP;
#
# x1 [ordered set] is sequenced/ordered/listed by comparison/rules x2 on unordered set x3         
#porsi1:DSAP;
#porsi2:DSAP;
#porsi3:DSAP;
#
# x1 reflects Portuguese culture/nationality/language in aspect x2                                
#porto1:DSAP;
#porto2:DSAP;
#
# x1 is a profit/gain/benefit/advantage to x2 accruing/resulting from activity/process x3         
#prali1:DSAP;
#prali2:DSAP;
#prali3:DSAP;
#
# x1 loves/feels strong affectionate devotion towards x2 (object/state)                           
prami1:A;love
prami2:P;loved
#
# x1 is perfect/ideal/archetypical/faultless/flawless/un-improvable in property/aspect x2 (ka)    
#prane1:DSAP;
#prane2:DSAP;
#
# x1 spreads/expands over/into x2 from initial state x3                                           
#preja1:DSAP;
#preja2:DSAP;
#preja3:DSAP;
#
# x1 is a person/people (noun) [not necessarily human]; x1 displays personality/a persona         
#prenu1:DSAP;
#
# x1 (quoted text) is a question/query about subject x2 by questioner x3 to audience x4           
#preti1:DSAP;
#preti2:DSAP;
#preti3:DSAP;
#preti4:DSAP;
#
# x1 is wise/sage about matter x2 (abstraction) to observer x3                                    
#prije1:DSAP;
#prije2:DSAP;
#prije3:DSAP;
#
# x1 is a print/impression/image on/in surface x2 of/made by/using tool/press/implement/object x3 
#prina1:DSAP;
#prina2:DSAP;
#prina3:DSAP;
#
# x1 is to the right/right-hand side of x2 which faces/in-frame-of-reference x3                   
pritu1:P;at the right
pritu2:P;with something at the right
pritu3:D;frame* of reference for right
#
# x1 is prose about plot/theme/subject x2 by author x3 for intended audience x4                   
#prosa1:DSAP;
#prosa2:DSAP;
#prosa3:DSAP;
#prosa4:DSAP;
#
# x1 is a process with inputs x2, outputs/results x3, passing through steps/stages x4             
#pruce1:DSAP;
#pruce2:DSAP;
#pruce3:DSAP;
#pruce4:DSAP;
#
# (adjective:) x1 is elastic/springy                                                              
#pruni1:DSAP;
#
# x1 is spiritual/pertains to the soul in nature [either energy or being]; x1 is ghostly/ethereal 
pruxi1:P;spiritual
#
# x1 is dust/precipitate [suspensible solid] from x2 in medium/on surface x3                      
#pulce1:DSAP;
#pulce2:DSAP;
#pulce3:DSAP;
#
# x1 is a police officer/[enforcer/vigilante] enforcing law(s)/rule(s)/order x2                   
#pulji1:DSAP;
#pulji2:DSAP;
#
# x1 is a pulley [tool] for performing action/function x2 rotating on axle x3                     
#pulni1:DSAP;
#pulni2:DSAP;
#pulni3:DSAP;
#
# x1 (agent) puts/places/sets x2 on/at surface/locus x3                                           
#punji1:DSAP;
#punji2:DSAP;
#punji3:DSAP;
#
# x1 is a swelling/protrusion/convexity [shape/form] at/in/on x2, of material x3                  
#punli1:DSAP;
#punli2:DSAP;
#punli3:DSAP;
#
# x1 is in the past of/earlier than/before x2 in time sequence; x1 is former; x2 is latter        
#purci1:DSAP;
#purci2:DSAP;
#
# x1 is a garden/tended/cultivated field of family/community/farmer x2 growing plants/crop x3     
#purdi1:DSAP;
#purdi2:DSAP;
#purdi3:DSAP;
#
# x1 is a powder of material x2                                                                   
#purmo1:DSAP;
#purmo2:DSAP;
#
# x1 (action/activity/behavior) is sane/rational by standard x2                                   
#racli1:DSAP;
#racli2:DSAP;
#
# x1 is a rabbit/hare/[doe] of species/breed x2                                                   
#ractu1:DSAP;
#ractu2:DSAP;
#
# x1 is x2 radian(s) [metric unit] in angular measure (default is 1) by standard x3               
#radno1:DSAP;
#radno2:DSAP;
#radno3:DSAP;
#
# x1 is an affix/suffix/prefix/combining-form for word/concept x2, form/properties x3, language x4
#rafsi1:DSAP;
#rafsi2:DSAP;
#rafsi3:DSAP;
#
# x1 is located across/on the other side of gap/boundary x2 from x3; x1 is opposite (fi) x3       
#ragve1:DSAP;
#ragve2:DSAP;
#ragve3:DSAP;
#
# x1 reflects Iraqi culture/nationality in aspect x2                                              
#rakso1:DSAP;
#rakso2:DSAP;
#
# x1 (object/person/event/situation) troubles/disturbs x2 (person) causing problem(s) x3          
#raktu1:DSAP;
#raktu2:DSAP;
#raktu3:DSAP;
#
# x1 is delicate/fragile/subtle/refined in property x2 (ka)                                       
#ralci1:DSAP;
#ralci2:DSAP;
#
# x1 is principal/chief/leader/main/[staple], most significant among x2 (set) in property x3 (ka) 
#ralju1:DSAP;
#ralju2:DSAP;
#ralju3:DSAP;
#
# x1 retains/keeps/holds x2 in its possession                                                     
#ralte1:DSAP;
#ralte2:DSAP;
#
# x1 yields/gives way/surrenders to x2 (force/agent) under conditions x3                          
#randa1:DSAP;
#randa2:DSAP;
#randa3:DSAP;
#
# x1 is a/the body organ [body-part] of body/species x2 performing function x3                    
#rango1:DSAP;
#rango2:DSAP;
#rango3:DSAP;
#
# x1 (event/state) continues/persists over interval x2; x1 (property - ka) is continuous over x2  
#ranji1:DSAP;
#ranji2:DSAP;
#
# x1 is a myth/legend, a culturally significant story about x2 in mythos x3 of culture x4         
#ranmi1:DSAP;
#ranmi2:DSAP;
#ranmi3:DSAP;
#ranmi4:DSAP;
#
# x1 is a quantity of/contains/is made of bronze of composition including x2                      
#ransu1:DSAP;
#ransu2:DSAP;
#
# x1 is soft/malleable/moldable/yielding to force x2 in conditions x3                             
#ranti1:DSAP;
#ranti2:DSAP;
#ranti3:DSAP;
#
# x1 is ironic(al)/contrary to expectation x2 in state/property/aspect x3                         
#ranxi1:DSAP;
#ranxi2:DSAP;
#ranxi3:DSAP;
#
# x1 [action] repeats/is repeated for a total of x2 (quantity) occurrences                        
#rapli1:DSAP;
#rapli2:DSAP;
#
# x1 is natural/spontaneous/instinctive, not [consciously] caused by person(s)                    
#rarna1:DSAP;
#rarna2:DSAP;
#
# x1 is a rat of species/breed x2                                                                 
#ratcu1:DSAP;
#ratcu2:DSAP;
#
# x1 is an atom of element/atomic number x2 of isotope number/atomic weight x3                    
#ratni1:DSAP;
#ratni2:DSAP;
#ratni3:DSAP;
#
# x1 is a/the tail/appendix [body-part] of x2; [metaphor: trailing, following portion/appendage]  
#rebla1:DSAP;
#rebla2:DSAP;
#rebla3:DSAP;
#
# x1 is a quantity of/contains meat/flesh from source/animal x2                                   
#rectu1:DSAP;
#rectu2:DSAP;
#
# x1 is a human/human being/man (non-specific gender-free sense); (adjective:) x1 is human        
remna1:D;human
#
# x1 throws/launches/casts/hurls x2 to/at/in direction x3 (propulsion derives internally to x1)   
#renro1:DSAP;
#renro2:DSAP;
#renro3:DSAP;
#
# x1 survives/endures/undergoes/abides/lasts/persists through x2 for interval/duration x3         
#renvi1:DSAP;
#renvi2:DSAP;
#renvi3:DSAP;
#
# x1 is a reptile of species/breed x2                                                             
#respa1:DSAP;
#respa2:DSAP;
#
# x1 is rich/wealthy in goods/possessions/property/aspect x2                                      
#ricfu1:DSAP;
#ricfu2:DSAP;
#
# x1 is repugnant to/causes disgust to x2 under conditions x3                                     
#rigni1:DSAP;
#rigni2:DSAP;
#rigni3:DSAP;
#
# x1 is made of/contains/is a quantity of silver/argentum (Ag); [metaphor: valuable, tarnishing]  
#rijno1:DSAP;
#rijno2:DSAP;
#rijno3:DSAP;
#
# x1 (sequence/non-text quote) is a rhythm/beat of music/expressive form x2                       
#rilti1:DSAP;
#rilti2:DSAP;
#
# x1 rhymes/alliterates with x2 in language/phonetics x3, matching sound correspondence x4 (ka)   
#rimni1:DSAP;
#rimni2:DSAP;
#rimni3:DSAP;
#rimni4:DSAP;
#
# x1 liquid/fluid drains/strains/flushes from source x2 through drain/strainer x3 by force x4     
#rinci1:DSAP;
#rinci2:DSAP;
#rinci3:DSAP;
#rinci4:DSAP;
#
# x1 is restrained/held [back]/constrained/kept by restraint x2 against x3 (event)                
#rinju1:DSAP;
#rinju2:DSAP;
#rinju3:DSAP;
#
# x1 (event/state) effects/physically causes effect x2 (event/state) under conditions x3          
rinka1:E;cause
rinka2:E;caused
rinka3:D;causal condition
#
# x1 (agent) greets/hails/[welcomes/says hello to]/responds to arrival of x2 in manner x3 (action)
#rinsa1:DSAP;
#rinsa2:DSAP;
#rinsa3:DSAP;
#
# x1 [member] is rare/unusual/uncommon/atypical in property x2 (ka) among members of x3 (set)     
#rirci1:DSAP;
#rirci2:DSAP;
#rirci3:DSAP;
#
# x1 is a parent of/raises/rears x2; x1 mentors/acts parental toward child/protege x2             
#rirni1:DSAP;
#rirni2:DSAP;
#
# x1 is a river of land mass x2, draining watershed x3 into x4/terminating at x4                  
#rirxe1:DSAP;
#rirxe2:DSAP;
#rirxe3:DSAP;
#rirxe4:DSAP;
#
# x1 is a quantity of rice [a type of grain] of strain/cultivar x2                                
#rismi1:DSAP;
#rismi2:DSAP;
#
# x1 is a/the heart [body-part] of x2; [emotional/shape metaphors are NOT culturally neutral]     
#risna1:DSAP;
#risna2:DSAP;
#
# x1 is a rite/ceremony/ritual for purpose/goal x2, by custom/in community x3, with form/rules x4 
#ritli1:DSAP;
#ritli2:DSAP;
#ritli3:DSAP;
#ritli4:DSAP;
#
# x1 avoids/evades/shuns/escapes/skirts [fate] x2 (event) through action/state x3 (event)         
#rivbi1:DSAP;
#rivbi2:DSAP;
#rivbi3:DSAP;
#
# x1 is a quantity of/is made of/contains rock/stone of type/composition x2 from location x3      
#rokci1:DSAP;
#rokci2:DSAP;
#rokci3:DSAP;
#
# x1 is a highly reflective/polished non-tarnishing metallic surface, of metal x2 [often chromium]
#romge1:DSAP;
#romge2:DSAP;
#
# x1 reflects European culture/nationality/geography/Indo-European languages in aspect x2         
#ropno1:DSAP;
#ropno2:DSAP;
#
# x1 engenders/procreates/begets x2 with coparent x3                                              
#rorci1:DSAP;
#rorci2:DSAP;
#rorci3:DSAP;
#
# x1 is thick in dimension/direction x2 by standard x3; [relatively long in smallest dimension]   
#rotsu1:DSAP;
#rotsu2:DSAP;
#
# x1 is a rose [flower - characterized by prickly stem/fragrance] of species/strain x2            
#rozgu1:DSAP;
#rozgu2:DSAP;
#
# x1 is weak/feeble/frail in property/quality/aspect x2 (ka) by standard x3                       
#ruble1:DSAP;
#ruble2:DSAP;
#ruble3:DSAP;
#
# x1 is rough/coarse/uneven/[grainy/scabrous/rugged] in texture/regularity                        
#rufsu1:DSAP;
#rufsu2:DSAP;
#rufsu3:DSAP;
#
# x1 melts [becomes liquid from solid state] at temperature x2 and pressure x3                    
#runme1:DSAP;
#runme2:DSAP;
#runme3:DSAP;
#
# x1 dissolves in solvent x2 forming solution/[suspension] x3 under conditions x4                 
#runta1:DSAP;
#runta2:DSAP;
#runta3:DSAP;
#runta4:DSAP;
#
# x1 is measured in major-money-units (dollar/yuan/ruble) as x2 (quantity), monetary system x3    
#rupnu1:DSAP;
#rupnu2:DSAP;
#rupnu3:DSAP;
#
# x1 reflects Russian culture/nationality/language in aspect x2                                   
#rusko1:DSAP;
#rusko2:DSAP;
#
# x1 is an artifact; x1 is artificial; x1 is made/caused by people/se kulnu x2; x1 is man-made    
#rutni1:DSAP;
#
# x1 [source] provides/supplies/furnishes x2 [supply/commodity] to x3 [recipient]                 
#sabji1:DSAP;
#sabji2:DSAP;
#sabji3:DSAP;
#
# x1 is a cabin of vehicle x2                                                                     
#sabnu1:DSAP;
#sabnu2:DSAP;
#
# x1 is a match [incendiary device] made of x2                                                    
#sacki1:DSAP;
#sacki2:DSAP;
#
# x1 (me'o) is the [decimal/binary] equivalent of fractional x2 (me'o) in base x3 (quantity)      
#saclu1:DSAP;
#saclu2:DSAP;
#saclu3:DSAP;
#
# x1 reflects Saudi Arabian culture/nationality in aspect x2                                      
#sadjo1:DSAP;
#sadjo2:DSAP;
#
# x1 sucks/is suction/vacuum/relatively low pressure of fluid/gas x2 relative to high pressure x3 
#sakci1:DSAP;
#sakci2:DSAP;
#sakci3:DSAP;
#
# x1 slides/slips/glides on x2                                                                    
#sakli1:DSAP;
#sakli2:DSAP;
#
# x1 is made of/contains/is a quantity of sugar [sweet edible] from source x2 of composition x3   
#sakta1:DSAP;
#sakta2:DSAP;
#sakta3:DSAP;
#
# x1 celebrates/recognizes/honors x2 (event/abstract) with activity/[party] x3                    
#salci1:DSAP;
#salci2:DSAP;
#salci3:DSAP;
#
# x1 is sloped/inclined/slanted/aslant with angle x2 to horizon/frame x3                          
#salpo1:DSAP;
#salpo2:DSAP;
#salpo3:DSAP;
#
# x1 (mass) is a quantity of salad [food] with ingredients/components including x2                
#salta1:DSAP;
#salta2:DSAP;
#
# x1 is a quantity of cassava/taro/manioc/tapioca/yam [edible starchy root] of species/strain x2  
#samcu1:DSAP;
#samcu2:DSAP;
#
# x1 is simple/unmixed/uncomplicated in property x2 (ka)                                          
#sampu1:DSAP;
#sampu2:DSAP;
#
# x1 is sound produced/emitted by x2                                                              
#sance1:DSAP;
#sance2:DSAP;
#
# x1 sings/chants x2 [song/hymn/melody/melodic sounds] to audience x3                             
#sanga1:DSAP;
#sanga2:DSAP;
#sanga3:DSAP;
#
# x1 is conscious/aware of x2 (object/abstract); x1 discerns/recognizes x2 (object/abstract)      
sanji1:P;conscious
sanji2:P;noticed
#
# x1 stands [is vertically oriented] on surface x2 supported by limbs/support/pedestal x3         
#sanli1:DSAP;
#sanli2:DSAP;
#sanli3:DSAP;
#
# x1 (mass) is a meal composed of dishes including x2                                             
#sanmi1:DSAP;
#sanmi2:DSAP;
#
# x1 is a sauce/topping/gravy/frosting for use with x2, containing ingredient(s) including x3     
#sanso1:DSAP;
#sanso2:DSAP;
#sanso3:DSAP;
#
# x1 is an umbrella/parasol shielding x2 from x3, made of material x4, supported by x5            
#santa1:DSAP;
#santa2:DSAP;
#santa3:DSAP;
#santa4:DSAP;
#santa5:DSAP;
#
# x1 (abstract) is necessary/required for continuing state/process x2 under conditions x3         
#sarcu1:DSAP;
#sarcu2:DSAP;
#sarcu3:DSAP;
#
# x1 supports/holds up/is underpinning of/[helps] x2 against force/opposition x3 with/by means x4 
sarji1:A;support
sarji2:P;supported
sarji3:P;supported against
sarji4:S;means for support
#
# x1 is a spiral/helix/whorl/[vortex] [shape/form] with limits x2, of dimensionality x3           
#sarlu1:DSAP;
#sarlu2:DSAP;
#sarlu3:DSAP;
#
# x1 is harmonious/concordant/in agreement/concord with x2 in property x3 (ka)                    
#sarxe1:DSAP;
#sarxe2:DSAP;
#sarxe3:DSAP;
#
# x1 (mass of facts) is science of/about subject matter x2 based on methodology x3                
#saske1:DSAP;
#saske2:DSAP;
#saske3:DSAP;
#
# x1 [measurement/match] is exact/precise to precision x2 in property/quantity x3 (ka/ni)         
#satci1:DSAP;
#satci2:DSAP;
#satci3:DSAP;
#
# x1 (agent) strokes/rubs/pets x2 with x3                                                         
